%  j(Acm-2)               V

0.010389540000000001 0.002440000000000000 
0.009701200000000000 0.039059999999999997 
0.008833140000000000 0.075679999999999997 
0.007975260000000000 0.112299999999999997 
0.007154680000000000 0.148930000000000007 
0.006371390000000000 0.185549999999999993 
0.005608450000000000 0.222170000000000006 
0.004859750000000000 0.258790000000000020 
0.004154120000000000 0.295410000000000006 
0.003495620000000000 0.332029999999999992 
0.002883910000000000 0.368649999999999978 
0.002310520000000000 0.405270000000000019 
0.001802910000000000 0.441890000000000005 
0.001361760000000000 0.478520000000000001 
0.000969780000000000 0.515140000000000042 
0.000627980000000000 0.551760000000000028 
0.000333520000000000 0.588380000000000014 
0.000091150000000000 0.625000000000000000 
